"ID","SITENAME","Mg","PH","K(Potassium)","NITRATE","SULPHATE","EC(Electrical Conductivity)","Ca(Calcium)","Na(Sodium)","CARBONATE","BICARBONATE","CHLORIDE","FLUORIDE","SAR(Sodium Absorption Ratio)","RSC(Residual Sodium Carbonate","waterQuality"
"1","Vengalapuram","268","7.3","10","276","304","5730","16","850","0","878","1304","1.6","10.9","-8.5","E"
"2","Kavalur","94.9","7.2","3","2","12","1069","24","77","0","421","163","1.3","1.6","-2.1","A"
"3","Alangayam","226.1","7.5","0","16","150","2830","20","300","0","549","631","1","4.2","-10.6","E"
"4","Vaniyambadi1","211.6","7.3","5","140","264","3600","20","500","0","726","680","1.7","7.2","-6.5","E"
"5","Sangilikuppam","238.3","7.2","2","174","240","2300","24","152","0","537","305","1.2","2.1","-12","E"
"6","Thottalam","350.1","7.2","2","350","352","4120","28","360","0","714","709","1","4","-18.5","E"
"7","Anaikkattu","37.7","7.1","3","12","34","585","26","52","0","207","64","1","1.5","-1","A"
"8","Arcot2","53.5","7.4","0","86","140","2170","36","350","0","482","354","1.4","8.7","1.7","B"
"9","Vellore1","59.7","8.1","15","24","3","2700","114","415","0","763","574","0.8","7.8","1.9","C"
"11","Ranipet1","306.4","7.2","50","57","490","7420","48","1100","0","415","2183","1.6","12.9","-20.8","E"
"12","Banavaram","73","7.1","3","16","60","997","40","80","0","213","191","1.1","1.7","-4.5","A"
"13","Sholingar1","40.2","6.8","2","13","28","562","34","25","0","116","99","0.5","0.7","-3.1","A"
"14","Perambattu","54.3","7.6","12","18","68","817","90","24","0","298","96","0","0.5","-4.1","A"
"16","Alankuppam","241.7","7.3","2","24","162","7440","307","800","0","739","1761","0","8.3","-23.1","E"
"18","Vengalapuram","238.4","7.6","100","25","369","7040","72","1150","0","970","1660","1.7","14.7","-7.3","E"
"19","Vokkanampet","170.5","7.3","25","20","160","4700","280","510","0","702","1319","1.3","5.9","-16.5","E"
"20","Kodiyur","75.5","7.6","150","5","50","1735","86","125","0","409","238","1.1","2.4","-3.8","D"
"21","Kavalur","73.3","7.3","2","4","48","827","58","28","0","310","114","0.3","0.6","-3.8","A"
"23","Natrampalli","94.9","7.6","25","0","200","2780","62","375","0","508","532","2.3","7","-2.6","C"
"24","Alangayam","88","7.4","2","0","66","2170","194","151","0","554","341","0.3","2.3","-7.8","C"
"26","Vaniyambadi1","136.3","7.8","2","6","72","2770","120","346","0","610","568","0.5","5.1","-7.2","C"
"28","Sangilikuppam","105.3","7.8","0","12","126","1710","147","76","0","537","210","0","1.2","-7.2","C"
"30","Kalavai","12.2","6.9","1","1","4","346","30","20","0","116","67","0.1","0.8","-0.6","A"
"31","Odugathur","180.1","7.4","35","80","180","4390","168","440","0","787","980","1.3","5.6","-10.3","E"
"32","ambur","34.3","7.4","48","0","220","3710","240","550","0","390","957","1.1","8.8","-8.4","E"
"33","Thottalam","214.1","7.5","280","10","360","4200","96","520","0","775","723","1.4","6.8","-9.7","E"
"34","Machampattu","105","7.6","225","30","160","3250","116","420","0","415","695","1.1","6.8","-7.6","E"
"35","Anaikkattu","74.6","7.3","2","4","58","842","43","22","0","256","114","0.1","0.5","-4.1","A"
"37","P.Agaram","87.6","7.7","195","10","240","3200","80","440","0","415","539","1.8","8.1","-4.4","D"
"38","Arcot2","24.4","7.5","85","0","164","2360","56","400","0","537","419","1","11.2","4","C"
"40","Pallikonda","113.7","7.5","2","2","132","2230","94","266","0","630","355","0","4.4","-3.7","D"
"41","Devadanam","75.6","8.1","2","8","524","1600","220","104","0","334","298","0.3","1.5","-11.7","A"
"43","Vellore1","148.5","7.3","216","2","318","2450","168","178","0","295","383","0.2","2.4","-15.8","C"
"45","Ranipet1","151","8","2","3","492","6770","208","1300","0","605","1775","0.4","16.8","-12.9","C"
"47","Pernampet","18.3","7.6","2","4","40","1090","46","170","0","397","124","1.2","5.4","2.7","C"
"48","Veppaneri","69.4","7.5","25","2","80","1770","64","195","0","515","238","1.3","4","-0.5","C"
"49","Lalpet","22.5","7.6","1","0","42","1071","80","124","0","456","128","0.3","3.2","1.6","A"
"51","Banavaram","12.3","7.3","2","10","42","960","128","62","0","222","199","0.4","1.4","-3.8","A"
"53","Sholingar1","30.5","7.8","3","3","55","935","72","95","0","317","128","0.9","2.4","-0.9","A"
"54","Perambattu","66","8","11","0","10","1065","53","80","0","539","74","1.3","1.7","0.8","A"
"55","Perampattu-EW","66.9","8.7","70.8","18.1","169.6","970","20","271","54","458","35","1","4.6","2.8","A"
"56","Sundarampalli-EW","94","7.9","70.8","18.1","169.6","2010","60","271","4","207","430","1","4.6","-7.3","B"
